Region,Facility,lat,lon
Accra West,Weija treatment plant,5.5666401,-0.3422326
Accra East,Adenta,5.720358,-0.165716
Accra East,Darkuman,5.589623,-0.252224
Accra East,Kwabenya,5.686045,-0.253232
Accra East,Kpong Headworks,6.164577,0.060725
Accra East,Kpong Newworks,6.155318,0.056133
Accra East,Weija Headworks,5.556175,-0.338714
Ashanti south,Barekese Headworks,6.85259,-1.714468
Ashanti south,Obuasi,6.193374,-1.675665
Ashanti north,Suame,6.72332,-1.644645
Ashanti production,Owabi,6.748107,-1.703732
Ashanti production,Mampong,7.065288,-1.400199
Ashanti production,Konongo,6.623429,-1.209719
Western,Takoradi Water Supply system(Daboase Headworks),4.901494,-1.791931
Western,Sekondi Water supply system(Inchaban Headworks),4.951092,-1.734253
Brong Ahafo,Abesim,7.292141,-2.279522
Brong Ahafo, Acherensua,6.978185,-2.297473
Brong Ahafo, Dwomo,7.153356,-2.04556
Brong Ahafo,Berekum,7.454347,-2.581122
Brong Ahafo, Biaso,7.097677,-2.712936
Brong Ahafo,Tanoso,7.279549,-2.242756
Northern,Dalun,9.6475079,-1.003635
Northern,Yendi,9.441991,-0.007339
Volta,Kpeve,6.683426,0.333087
Volta,Hohoe,7.151205,0.47636
Volta,Agordome,5.950985,0.630083
Central,Cape Coast ,5.116226,-1.255629
Central,Saltpond,5.201882,-1.053894
Central,Winneba,5.372202,-0.633066
Central,Swedru,5.535857,-0.699821
Central,Dunkwa,5.776188,-2.531447
Central,Elmina,5.105071,-1.339259
Eastern,Juaben,6.791643,-1.465948
Eastern,Nsawam,5.822981,-0.349396
Eastern,Krobo,6.145717,0.012703
Eastern,Akwapim,5.96237,-1.07669
Eastern,Dodowa,5.889547,-0.097547
Eastern,Tafo,6.2162408,-0.3795348
Eastern,Kwahu,6.701015,-0.686013
Eastern,Suhum,6.044625,-0.45383
Eastern,Oda,5.936344,-0.981603
Eastern,Kade,6.098694,-0.836206
Upper west,Wa,10.067061,-2.51117
Upper East, Bolgatanga,10.799263,-0.856269
Upper East,Bawku,11.059188,-0.239001
Upper East,Navrongo,10.899558,-1.088677
ATMA production,Kpong treatment plant,6.160301,0.063582
ATMA production,Keseve treatment plant,5.78321,0.630855
Tema,Teshie Nungua Desalination,5.719999,0.025087
Tema,Sakumono,5.622829,-0.061943
Ashanti south,Kumasi,6.6486581,-1.6071357
Volta,Ho,6.608336,0.468496
Eastern,Nkawkaw,6.55202,-0.771661
Brong Ahafo,Sunyani,7.341864,-2.313009
Brong Ahafo,Nkwabeng,7.497919,-1.739831
Northern,Tamale,9.428017,-0.846983
Eastern,Koforidua,6.109844,-0.273643
Central,kwanyako,5.598036,-0.634377
Central,Essakyir,5.318814,-0.892178
Eastern,Osenase,5.9563653,-0.7520291
Eastern,Apedwa,6.130185,-0.491853
Eastern,Anyinam,6.373519,-0.541763
Eastern,Kibi,6.168758,-0.55275
Ashanti south,kumawu,6.909833,-1.276088
Ashanti south,Akwatia,6.0395831,-0.811786
Western,Essiama,4.938237,-2.3491
Volta,Sogakope-Lome,6.002267,0.593154
Eastern,Asutsuare,6.075917,0.187687
Brong Ahafo,Techiman,7.610708,-1.94339
